Time,Symbol,Side,Price,Size
2026-08-01 23:49:15,C98USDT,SELL,0.01171,52.08
2026-08-01 23:49:15,XECUSDT,BUY,6.67e-06,49.18
2026-08-01 23:49:15,CITYUSDT,SELL,0.362,49.18
2026-08-01 23:49:15,PORTOUSDT,BUY,0.444,52.08
2026-08-01 23:52:57,SCUSDT,SELL,0.000499,52.08
2026-08-01 23:52:58,DOTUSDT,BUY,0.782,49.18
2026-08-01 23:52:58,RADUSDT,SELL,0.202,54.97
2026-08-01 23:52:58,SPELLUSDT,BUY,7.66e-05,52.08
2026-08-01 23:54:12,QNTUSDT,SELL,61.23,49.18
2026-08-01 23:54:12,RAYUSDT,BUY,0.602,52.08
2026-08-01 23:54:12,XECUSDT,SELL,6.65e-06,49.18
2026-08-01 23:54:12,GALAUSDT,BUY,0.001762,52.08
2026-08-01 23:54:12,QIUSDT,SELL,0.001255,46.29
2026-08-01 23:54:12,BTTCUSDT,BUY,2.7e-07,52.08
2026-08-01 23:57:55,GALAUSDT,SELL,0.00176,52.08
2026-08-01 23:57:55,CITYUSDT,BUY,0.363,54.97
2026-08-01 23:59:09,LAZIOUSDT,SELL,0.346,57.86
2026-08-01 23:59:09,ENSUSDT,BUY,4.2,43.4
2026-08-02 00:00:27,CITYUSDT,SELL,0.362,54.97
2026-08-02 00:00:27,FLUXUSDT,BUY,0.0387,49.18
2026-08-02 00:02:58,BTTCUSDT,SELL,2.7e-07,52.08
2026-08-02 00:02:58,LDOUSDT,BUY,0.3267,57.86
2026-08-02 00:04:13,SPELLUSDT,SELL,7.66e-05,52.08
2026-08-02 00:04:13,OPUSDT,BUY,0.0831,49.18
2026-08-02 00:04:13,WBTCUSDT,SELL,62868.43,54.97
2026-08-02 00:04:13,SUIUSDT,BUY,0.6765,57.86
2026-08-02 00:05:29,PORTOUSDT,SELL,0.443,52.08
2026-08-02 00:05:29,CVXUSDT,BUY,1.272,49.18
2026-08-02 00:10:26,CVXUSDT,SELL,1.269,49.18
2026-08-02 00:10:26,PEOPLEUSDT,BUY,0.00649,57.86
2026-08-02 00:14:09,OPUSDT,SELL,0.083,49.18
2026-08-02 00:14:09,GMXUSDT,BUY,6.01,49.18
2026-08-02 00:21:34,PEOPLEUSDT,SELL,0.00649,57.86
2026-08-02 00:21:34,IMXUSDT,BUY,0.1094,49.18
2026-08-02 00:24:04,DOTUSDT,SELL,0.781,49.18
2026-08-02 00:24:04,DIAUSDT,BUY,0.1106,49.18
2026-08-02 00:25:18,ENSUSDT,SELL,4.21,43.4
2026-08-02 00:25:18,AMPUSDT,BUY,0.000389,49.18
2026-08-02 00:25:18,FLUXUSDT,SELL,0.0389,49.18
2026-08-02 00:25:18,PEOPLEUSDT,BUY,0.00651,49.18
2026-08-02 00:27:47,IMXUSDT,SELL,0.1091,49.18
2026-08-02 00:27:47,GLMRUSDT,BUY,0.007476,57.86
2026-08-02 00:29:01,SUIUSDT,SELL,0.677,57.86
2026-08-02 00:29:01,MAVUSDT,BUY,0.00794,57.86
2026-08-02 00:30:16,GLMRUSDT,SELL,0.007446,57.86
2026-08-02 00:30:16,XNOUSDT,BUY,0.41,43.4
2026-08-02 00:30:16,GMXUSDT,SELL,5.98,49.18
2026-08-02 00:30:16,GNSUSDT,BUY,0.491,57.86
2026-08-02 00:31:30,RAYUSDT,SELL,0.6028,52.08
2026-08-02 00:31:30,QUICKUSDT,BUY,0.00797,52.08
2026-08-02 00:34:00,AMPUSDT,SELL,0.000388,49.18
2026-08-02 00:34:00,PYRUSDT,BUY,0.073,43.4
2026-08-02 00:35:15,PYRUSDT,SELL,0.073,43.4
2026-08-02 00:35:15,TUSDT,BUY,0.00338,52.08
2026-08-02 00:38:58,QUICKUSDT,SELL,0.00794,52.08
2026-08-02 00:38:58,XECUSDT,BUY,6.68e-06,52.08
2026-08-02 00:38:58,XNOUSDT,SELL,0.406,43.4
2026-08-02 00:38:58,NEXOUSDT,BUY,0.718,43.4
2026-08-02 00:38:58,GNSUSDT,SELL,0.49,57.86
2026-08-02 00:38:58,SYNUSDT,BUY,0.08861,49.18
2026-08-02 00:40:13,LDOUSDT,SELL,0.3289,57.86
2026-08-02 00:40:13,POLYXUSDT,BUY,0.0326,57.86
2026-08-02 00:40:13,MAVUSDT,SELL,0.00792,57.86
2026-08-02 00:40:13,SEIUSDT,BUY,0.04116,49.18
2026-08-02 00:43:59,NEXOUSDT,SELL,0.717,43.4
2026-08-02 00:43:59,LDOUSDT,BUY,0.3294,43.4
2026-08-02 00:46:29,TUSDT,SELL,0.00338,52.08
2026-08-02 00:46:29,APTUSDT,BUY,0.554,54.97
2026-08-02 00:48:57,PEOPLEUSDT,SELL,0.00649,49.18
2026-08-02 00:48:58,ACHUSDT,BUY,0.00447,52.08
2026-08-02 00:50:13,DIAUSDT,SELL,0.1121,49.18
2026-08-02 00:50:13,AVAXUSDT,BUY,6.199,52.08
2026-08-02 00:53:56,POLYXUSDT,SELL,0.0326,57.86
2026-08-02 00:53:56,OSMOUSDT,BUY,0.0272,46.29
2026-08-02 00:55:11,SYNUSDT,SELL,0.08825,49.18
2026-08-02 00:55:11,LQTYUSDT,BUY,0.1796,49.18
2026-08-02 01:05:14,OSMOUSDT,SELL,0.0272,46.29
2026-08-02 01:05:14,SYNUSDT,BUY,0.08902,52.08
2026-08-02 01:05:14,LQTYUSDT,SELL,0.1788,49.18
2026-08-02 01:05:14,PROMUSDT,BUY,1.977,49.18
2026-08-02 01:06:28,PROMUSDT,SELL,1.973,49.18
2026-08-02 01:06:28,QKCUSDT,BUY,0.001969,52.08
2026-08-02 01:10:11,ACHUSDT,SELL,0.00447,52.08
2026-08-02 01:10:11,IMXUSDT,BUY,0.1092,49.18
2026-08-02 01:10:11,SEIUSDT,SELL,0.04133,49.18
2026-08-02 01:10:11,MEMEUSDT,BUY,0.0005,52.08
2026-08-02 01:13:54,MEMEUSDT,SELL,0.0005,52.08
2026-08-02 01:13:54,VANRYUSDT,BUY,0.003888,49.18
2026-08-02 01:15:09,XECUSDT,SELL,6.71e-06,52.08
2026-08-02 01:15:09,DYDXUSDT,BUY,0.11574,49.18
2026-08-02 01:22:36,DYDXUSDT,SELL,0.11546,49.18
2026-08-02 01:22:36,AGLDUSDT,BUY,0.1495,57.86
2026-08-02 01:26:19,VANRYUSDT,SELL,0.00386,49.18
2026-08-02 01:26:19,PYTHUSDT,BUY,0.03936,46.29
2026-08-02 01:31:15,AGLDUSDT,SELL,0.1491,57.86
2026-08-02 01:31:15,RADUSDT,BUY,0.203,54.97
2026-08-02 01:31:15,IMXUSDT,SELL,0.109,49.18
2026-08-02 01:31:15,BTTCUSDT,BUY,2.7e-07,52.08
2026-08-02 01:32:29,RADUSDT,SELL,0.202,54.97
2026-08-02 01:32:29,LAZIOUSDT,BUY,0.348,57.86
2026-08-02 01:38:40,BTTCUSDT,SELL,2.6e-07,52.08
2026-08-02 01:38:40,ASTRUSDT,BUY,0.004838,46.29
2026-08-02 01:42:22,LDOUSDT,SELL,0.3299,43.4
2026-08-02 01:42:22,GMXUSDT,BUY,6.02,43.4
2026-08-02 01:46:04,SYNUSDT,SELL,0.09039,52.08
2026-08-02 01:46:04,FLOKIUSDT,BUY,2.029e-05,46.29
2026-08-02 01:47:18,LAZIOUSDT,SELL,0.346,57.86
2026-08-02 01:47:18,AUCTIONUSDT,BUY,3.012,49.18
2026-08-02 01:51:00,PYTHUSDT,SELL,0.03933,46.29
2026-08-02 01:51:00,RONINUSDT,BUY,0.049,49.18
2026-08-02 01:52:14,AVAXUSDT,SELL,6.225,52.08
2026-08-02 01:52:14,NEARUSDT,BUY,1.701,43.4
2026-08-02 01:52:14,QKCUSDT,SELL,0.001976,52.08
2026-08-02 01:52:14,ARBUSDT,BUY,0.0797,49.18
2026-08-02 01:54:42,AUCTIONUSDT,SELL,3.012,49.18
2026-08-02 01:54:42,CITYUSDT,BUY,0.364,54.97
2026-08-02 01:57:10,GMXUSDT,SELL,6.01,43.4
2026-08-02 01:57:10,APTUSDT,SELL,0.558,54.97
2026-08-02 01:57:10,GNSUSDT,BUY,0.494,43.4
2026-08-02 01:57:10,EDUUSDT,BUY,0.0343,49.18
2026-08-02 01:57:10,RONINUSDT,SELL,0.0489,49.18
2026-08-02 01:57:10,WIFUSDT,BUY,0.1376,57.86
2026-08-02 01:58:23,ASTRUSDT,SELL,0.004838,46.29
2026-08-02 01:58:23,GMTUSDT,BUY,0.00669,46.29
2026-08-02 02:03:19,NEARUSDT,SELL,1.701,43.4
2026-08-02 02:03:19,JUVUSDT,BUY,0.31,43.4
2026-08-02 02:03:19,CITYUSDT,SELL,0.363,54.97
2026-08-02 02:03:19,PORTOUSDT,BUY,0.445,57.86
2026-08-02 02:03:19,WIFUSDT,SELL,0.1373,57.86
2026-08-02 02:03:19,ENAUSDT,BUY,0.082,49.18
2026-08-02 02:04:33,PORTOUSDT,SELL,0.442,57.86
2026-08-02 02:04:33,PYRUSDT,BUY,0.074,52.08
2026-08-02 02:04:33,ARBUSDT,SELL,0.0796,49.18
2026-08-02 02:04:33,ORDIUSDT,BUY,3.594,49.18
2026-08-02 02:13:11,PYRUSDT,SELL,0.073,52.08
2026-08-02 02:13:11,BICOUSDT,BUY,0.01191,46.29
2026-08-02 02:18:08,BICOUSDT,SELL,0.01191,46.29
2026-08-02 02:18:08,ACHUSDT,BUY,0.0045,46.29
2026-08-02 02:20:36,EDUUSDT,SELL,0.0344,49.18
2026-08-02 02:20:36,PEPEUSDT,BUY,2.88e-06,57.86
2026-08-02 02:24:19,GNSUSDT,SELL,0.494,43.4
2026-08-02 02:24:19,SYNUSDT,BUY,0.09051,49.18
2026-08-02 02:31:44,ORDIUSDT,SELL,3.633,49.18
2026-08-02 02:31:44,JUPUSDT,BUY,0.1966,49.18
2026-08-02 02:32:58,PEPEUSDT,SELL,2.86e-06,57.86
2026-08-02 02:32:58,FLOKIUSDT,SELL,2.048e-05,46.29
2026-08-02 02:32:58,FDUSDUSDT,BUY,0.9981,46.29
2026-08-02 02:32:58,TIAUSDT,BUY,0.3295,43.4
2026-08-02 02:34:12,JUVUSDT,SELL,0.312,43.4
2026-08-02 02:34:12,RIFUSDT,BUY,0.0874,49.18
2026-08-02 02:34:12,GMTUSDT,SELL,0.00672,46.29
2026-08-02 02:34:12,NEXOUSDT,BUY,0.724,43.4
2026-08-02 02:35:26,TIAUSDT,SELL,0.3286,43.4
2026-08-02 02:35:26,PIVXUSDT,BUY,0.0329,52.08
